,nombre,puntuacion,direccion,barrio,enlace,direccion_completa,lat,long,punto,precio,China,Internacional,Mediterránea,Española,Argentina,Sudamericana,Italiana,Pizza,Americana,Café,Peruana,Street food / Comida en la calle,Marisco,India,Asiática,Saludable,Europea,Latina,Bar,Venezolana,Restaurante de carne,Barbacoa,Opciones vegetarianas,Napolitana,De Campania,Japonesa,Sushi,Contemporánea,Fusión japonesa,Francesa,Del sur de Italia,Mexicana,Caribeña,Bares para comer,Comida rápida,Toscana,Del centro de Italia,Del Lacio,Coreana,Nepalí,Opciones veganas,Opciones sin gluten,Vinoteca,Africana,Cubana,Fusión,De Oriente Medio,Árabe,Unnamed: 56,Vasca,Sopas,Colombiana,Asador,Pub con cerveza artesanal,Pub,Tailandesa,Brasileña,Balti,Portuguesa,Centroamericana,Etíope,Pub restaurante,Británica,Vietnamita,Hawaiana,Irlandesa,Romana,Tentempiés,Sarda,Alemana,Centroeuropea,Hunan,Griega,Postres,Indonesia,Siciliana,Polaca,De Europa oriental,De Shanghai,Cantonesa,Persa,Comedor,Pakistaní,Marroquí,Libanesa,Tienda gourmet,De Asia central,Belga,Chilena,Georgiana,Filipina,Sichuan,Turca,Azerbayana,Rusa,Mercado de alimentos especializado,Fujian,Ucraniana,Sueca,Alimentos medicinales,Confiterías/panaderías,Tibetana,Cajún y criolla,Bangladeshi,Israelí,Egipcia,Restaurantes de cerveza,Del norte de Italia,Ecuatoriana,Suiza,Rumana,Albanesa,Kosher,Confitería japonesa,Halal,Afgana,Cocina de Pekín,Puertorriqueña,Jamaicana,Polinesia,Checa,Fruterías,Casa de un chef local,Argelina
1577,Restaurante Achuri,"4,0 ",Calle Argumosa 21,Embajadores,No hay link,"Calle Argumosa 21, 28012, Madrid",40.4081402,-3.6982881,POINT (-3.6982881 40.4081402),€,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1578,Pomodoro e Basilico,"5,0 ",Calle de San Anastasio 4,Acacias,No hay link,"Calle de San Anastasio 4, 28005, Madrid",40.3972382,-3.7033722,POINT (-3.7033722 40.3972382),€€ - €€€,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1579,Pez Fuego,"3,5 ",Calle Orense 68,Barrio no encontrado,No hay link,"Calle Orense 68, 28020, Madrid",40.41513925,-3.82992423804588,POINT (-3.82992423804588 40.41513925),€€€€,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580,La Joiosa Taberna,"5,0 ","Calle Pedro Muguruza, 2",Nueva España,No hay link,"Calle Pedro Muguruza, 2, 28036, Madrid",40.4622072,-3.6861299,POINT (-3.6861299 40.4622072),€€ - €€€,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1581,Lola 09,"3,5 ",Calle San Mateo 28,Barrio no encontrado,No hay link,"Calle San Mateo 28, 28004, Madrid",40.402188,-3.9994854,POINT (-3.9994854 40.402188),€€ - €€€,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582,La Alegria,"4,5 ",Calle Veneras 7,Palacio,No hay link,"Calle Veneras 7, 28013, Madrid",40.4194843,-3.7076302,POINT (-3.7076302 40.4194843),€,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1583,Taberna Alba's,"4,0 ",Paseo Doctor Vallejo Nagera 43,Imperial,No hay link,"Paseo Doctor Vallejo Nagera 43, 28005, Madrid",40.4032065,-3.7128314,POINT (-3.7128314 40.4032065),€€ - €€€,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1584,Urrechu,"4,0 ","Calle Barlovento, 1",Barrio no encontrado,No hay link,"Calle Barlovento, 1, 28017, Madrid",40.42010545,-3.798209883864728,POINT (-3.798209883864728 40.42010545),€€€€,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1585,La Viña de Nerea,"4,0 ",Avda. de Logroño 128,Alameda de Osuna,No hay link,"Avda. de Logroño 128, 28042, Madrid",40.4620457,-3.5900419,POINT (-3.5900419 40.4620457),€€ - €€€,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1586,Come Prima,"3,5 ",Calle Echegaray 27,Barrio no encontrado,No hay link,"Calle Echegaray 27, 28014, Madrid",40.3278157,-3.8604401,POINT (-3.8604401 40.3278157),€€ - €€€,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
