,link,nombre,puntuacion,ubicacion,barrio,lat,long,punto,Museos de arte,Lugares históricos,Interés arquitectonico,Museos especializados,Puntos emblemáticos y de interés,Campos y estadios,Museos de historia,Ruinas antiguas,Barrios,Iglesias y catedrales,Parques,Monumentos y estatuas,Teatros,Lugares religiosos,Fuentes,Zoos,Acuarios,Mercadillos,Jardines,Tranvías,Grandes almacenes,Bibliotecas,Paseos por zonas históricas,Ópera,Complejos deportivos,Cenas con espectáculo,Mercados de agricultores,Juegos de escape,Centros de juego y entretenimiento,Galerías de arte,Atracciones y actividades,Bares y discotecas,Teatros y actuaciones,Clases de cocina,Servicios ferroviarios,Sistemas de transporte público,Campos de tiro,Spas,Conciertos,Tiendas de regalos y especializadas,Discotecas y salas de baile,Vinotecas,Búsquedas del tesoro,Bares de karaoke,Visitas urbanas guiadas,Tours de varios días,Tours culturales,Tours cinematográficos y televisivos,Tours nocturnos,Visitas turísticas guiadas,Visitas guiadas a fábricas,Rutas fotográficas,Recorridos de compras,Paseos en globo,Taxis y lanzaderas,Recorridos por parajes naturales,Visitas arqueológicas guiadas,Excursiones de un día,Tours privados,Tours gastronómicos,Catas y visitas vinícolas guiadas,Tours en bicicleta,Alquiler de equipamiento,Tours en segway,Tours de patrimonio histórico,Rutas autoguiadas y alquileres,Recorridos a pie,Tours en autobús,Recorridos en motocicleta,Casinos,Centros comerciales,Edificios gubernamentales,Rutas ciclistas,Palacios de congresos,Cementerios,Centros cívicos,Sitios educativos,Áreas de recreo al aire libre,Bases o instalaciones militares,Cabarés,Campamentos deportivos,Outlets,Museos de ciencias,Universidades y escuelas,Baños árabes,Baños turcos,Gimnasios,Cines,Anticuarios,Ballet,Clubs de comedia,Bares gay,Bares de jazz,Bares de blues,Piano-bares,Cafeterías,Recorridos ferroviarios,Yoga y pilates,Cervecería,Estudios de pintura y cerámica,Buceo y esnórquel,Buceo entre tiburones,Recorridos submarinos,Nadar con delfines,Parajes naturales,Clases y talleres,Torres y miradores,Catas de cerveza y visitas guiadas,Servicios de autobús,Miradores,Museos para niños,Recorridos en barco,Bosques,Campos de golf,Centro de aguas termales,Rutas de senderismo,Adrenalina y Experiencias extremas,Granjas,Rutas de rápel y barranquismo,Escaladas guiadas,Acampadas y senderismo guiado,Recorridos en carruaje de caballos,Visitas guiadas a caballo,Tours,Puentes,Autobuses turísticos,Parques temáticos y de atracciones,Otras actividades al aire libre,Bodegas y viñedos,Recorridos aéreos,Parques nacionales,Eventos culturales,Centros de visitantes,Visitas a destilerías,Visitas guiadas por cafeterías y teterías,"Tours por bares, discotecas y pubs"
0,http://www.museodelprado.es/,Museo del Prado,4.5,"Calle Ruiz de Alarcon 23, 28014 Madrid España",Cortes,40.41379255,-3.6920378829351295,POINT (-3.6920378829351295 40.41379255),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,http://www.patrimonionacional.es/real-sitio/palacios/6039,Palacio Real de Madrid,4.5,"Plaza De Oriente S/n, 28071 Madrid España",Palacio,40.4183453,-3.7129475887257177,POINT (-3.7129475887257177 40.4183453),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,http://www.museothyssen.org/thyssen/home,Museo Nacional Thyssen-Bornemisza,4.5,"Paseo del Prado 8, 28014 Madrid España",Cortes,40.4162159,-3.694931688656911,POINT (-3.694931688656911 40.4162159),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,https://diario.madrid.es/granvia/lo-que-ha-sido/,Gran Vía,4.5,"Street Gran Via, 28013 Madrid España",Sol,40.4208889,-3.7065371,POINT (-3.7065371 40.4208889),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,http://www.esmadrid.com/informacion-turistica/plaza-mayor-madrid,Plaza Mayor,4.0,"Calle Gerona 4, 28012 Madrid España",Barrio no encontrado,40.4860702,-3.3390054,POINT (-3.3390054 40.4860702),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,http://www.realmadrid.com/entradas/tour-bernabeu,Estadio Santiago Bernabéu,4.5,"Avenida Concha Espina 1, 28036 Madrid España",Barrio no encontrado,40.5902963,-4.1569433,POINT (-4.1569433 40.5902963),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,http://www.museoreinasofia.es/index_en.html,Museo Nacional Centro de Arte Reina Sofía,4.5,"Calle Santa Isabel 52, 28012 Madrid España",Barrio no encontrado,40.0316541,-3.5908194,POINT (-3.5908194 40.0316541),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,http://www.man.es/man/en/home,Museo Arqueológico Nacional,4.5,"Calle Serrano 13, 28001 Madrid España",Recoletos,40.4234289,-3.6888894,POINT (-3.6888894 40.4234289),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,http://www.madrid.es/portales/munimadrid/es/Inicio/templodebod/?vgnextoid=46caa0d03aa8b010VgnVCM100000d90ca8c0RCRD&vgnextchannel=0c369e242ab26010VgnVCM100000dc0ca8c0RCRD&rmColeccion=30fe658f83a5d010VgnVCM1000000b205a0aRCRD,Templo de Debod,4.0,"Calle Ferraz 1, 28008 Madrid España",Casa de Campo,40.4240372,-3.7177252129764895,POINT (-3.7177252129764895 40.4240372),0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,http://www.culturaydeporte.gob.es/mcerralbo/home.html,Museo Cerralbo,4.5,"C/ Ventura Rodríguez, 17, 28008 Madrid España",Barrio no encontrado,40.5913942,-4.1458076,POINT (-4.1458076 40.5913942),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,http://www.esmadrid.com/informacion-turistica/puerta-del-sol,Puerta del Sol,4.0,"Puerta del Sol, 28013 Madrid España",Sol,40.4168582,-3.704298645445678,POINT (-3.704298645445678 40.4168582),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,http://turismomadrid.es/es/,Paseo del Prado,4.5,"Paseo del Prado, Madrid",Cortes,40.4147816,-3.6943046,POINT (-3.6943046 40.4147816),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,http://www.fundacionmuseonaval.com/,Museo Naval,4.5,"Paseo del Prado 5, 28014 Madrid España",Cortes,40.41752575,-3.692380646477055,POINT (-3.692380646477055 40.41752575),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,http://www.facebook.com/El-campo-de-Cebada-180735625274126,La Latina,4.5,"La Latina, Madrid",Palacio,40.4112911,-3.7083094,POINT (-3.7083094 40.4112911),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,http://www.las-ventas.com/,Plaza de Toros de Las Ventas,4.0,"Calle de Alcala 237, 28028 Madrid España",Goya,40.428359,-3.6682744,POINT (-3.6682744 40.428359),0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,http://www.catedraldelaalmudena.es/,Catedral de Sta María la Real de la Almudena,4.0,"Calle Bailén 10, 28013 Madrid España",Barrio no encontrado,40.0286178,-3.6079433,POINT (-3.6079433 40.0286178),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
