_id,enlace,nombre,puntuacion,tipo_cocina,ubicacion
National Archaeological Museum,No hay link,National Archaeological Museum,"4,5 ","[""Europea""]","FEEDBACK_FIELD_KEY_ISSUE_TYPE Calle de Serrano 13, 28001 Madrid España"
Masa Madre Vegan Food,http://www.masamadrevegan.com/,Masa Madre Vegan Food,"4,0 ","[""€€ - €€€"",""Internacional"",""Europea"",""Opciones vegetarianas""]","Amapolas 10 Entrada por Calle Nardos, Frente al 55, 28925 Madrid España"
Mandarin,null,Mandarin,"4,0 ","[""€€ - €€€"",""China"",""Japonesa"",""Sushi""]","Paseo Recoletos 37, 28004 Madrid España"
Horno de Juan,http://www.hornodejuan.net/,Horno de Juan,"4,0 ","[""€€ - €€€"",""Restaurante de carne"",""Mediterránea"",""Española""]","Calle Lope de Rueda 4 Barrio de Salamanca, 28009 Madrid España"
LaLanda,http://www.tabernalalanda.com/,LaLanda,"4,0 ","[""€€ - €€€"",""Mediterránea"",""Europea"",""Española""]","Calle Puerto Rico 35, 28016 Madrid España"
Restaurante Casa Perico,null,Restaurante Casa Perico,"4,0 ","[""€€ - €€€"",""Mediterránea"",""Europea"",""Española""]","Calle de La Ballesta, 18, 28004 Madrid España"
RESTAURANTE BRASAYLEÑA PLAZA MAYOR,null,RESTAURANTE BRASAYLEÑA PLAZA MAYOR,"3,5 ","[""€€ - €€€"",""Restaurante de carne"",""Brasileña"",""Barbacoa""]","Plaza Comandante las Morenas, 3 Entre la Madrilena Plaza Mayor y el Mercado de San Miguel, 28013 Madrid España"
Tablao Flamenco Corral de la Pacheca,null,Tablao Flamenco Corral de la Pacheca,"4,5 ","[""€€€€"",""Mediterránea"",""Europea"",""Española""]","Calle de Alcalá 237 Comunidad de Madrid, 28036 Madrid España"
Hotel Catalonia Puerta Del Sol Restaurant,null,Hotel Catalonia Puerta Del Sol Restaurant,"4,5 ","[""€€ - €€€""]","Calle de Atocha, 23, 28012 Madrid España"
Bar Restaurante la Esquina de Calderon,null,Bar Restaurante la Esquina de Calderon,"4,0 ","[""€€ - €€€"",""Mediterránea"",""Europea"",""Española""]","Paseo Virgen del Puerto 61, 28005 Madrid España"
"La Tagliatella C/Poeta Joan Maragall, Madrid",null,"La Tagliatella C/Poeta Joan Maragall, Madrid","3,5 ","[""€€ - €€€"",""Italiana"",""Pizza"",""Mediterránea""]","Calle Poeta Joan Maragall 53, 28020 Madrid España"
La Penela Restaurante Gallego. Velázquez,null,La Penela Restaurante Gallego. Velázquez,"3,5 ","[""€€ - €€€"",""Española""]","Calle Velázquez 96, 28006 Madrid España"
Casa María - Mercado de Producto Madrid,null,Casa María - Mercado de Producto Madrid,"5,0 ","[""€€ - €€€"",""Mediterránea"",""Española""]","Calle de Santa Isabel 5 Mercado de Anton Martin 1ª planta, 28012 Madrid España"
FRINSA LA CONSERVERA - Delistore&Tapas,http://www.frinsa.es/,FRINSA LA CONSERVERA - Delistore&Tapas,"4,5 ","[""€€ - €€€"",""Bar"",""Mediterránea"",""Española""]","Calle Mayor 49 Frente Al Mercado de San Miguel, 28013 Madrid España"
Seduccion A La Carta By Molt Hospitality,null,Seduccion A La Carta By Molt Hospitality,"4,5 ","[""€€ - €€€"",""Mediterránea"",""Europea"",""Española""]","Calle de la Infanta Mercedes 31, 28020 Madrid España"
RESTAURANTE BRASAYLEÑA C.C. PLAZA RIO 2,http://www.brasaylena.com/,RESTAURANTE BRASAYLEÑA C.C. PLAZA RIO 2,"4,0 ","[""€€ - €€€"",""Brasileña"",""Barbacoa"",""Opciones sin gluten""]","Av del Manzanares, 210 Centro Comercial Plaza Río 2, 28026 Madrid España"
Entre Pisco y Nazca Madrid - La República del Pisco,No hay link,Entre Pisco y Nazca Madrid - La República del Pisco,"5,0 ","[""Peruana"",""Sudamericana""]","Calle de Espoz y Mina, 32, 28012 Madrid España"
Antigua Embajada Hotel Intur Palacio San MartÍn,null,Antigua Embajada Hotel Intur Palacio San MartÍn,"4,0 ","[""€€ - €€€"",""Mediterránea"",""Europea"",""Española""]","Plaza de San Martín, 5, 28013 Madrid España"
El secreto de Madrid club gastronomico,No hay link,El secreto de Madrid club gastronomico,"4,0 ","[""€€ - €€€"",""Café"",""Mediterránea"",""Española""]","Calle Espoz y Mina 17, 28012 Madrid España"
Albor,null,Albor,"5,0 ","[""€€ - €€€"",""Española"",""Contemporánea""]","Juan Martin El Empecinado, 9 9, 28045 Madrid España"
El Paisano,null,El Paisano,"4,0 ","[""€€ - €€€"",""Restaurante de carne"",""Mediterránea"",""Española""]","Calle Alburquerque 15, 28010 Madrid España"
Mozzafiato Restaurante Italiano Pasta Fresca,null,Mozzafiato Restaurante Italiano Pasta Fresca,"5,0 ",[],"Calle de Viriato, 11, 28010 Madrid España"
Mamá Chicó - Corredera Baja de San Pablo,null,Mamá Chicó - Corredera Baja de San Pablo,"4,0 ","[""€€ - €€€""]","Corredera Baja de San Pablo, 10, 28004 Madrid España"
RESTAURANTE BRASAYLEÑA C.C. LA GAVIA,null,RESTAURANTE BRASAYLEÑA C.C. LA GAVIA,"3,5 ","[""€€ - €€€"",""Restaurante de carne"",""Brasileña"",""Latina""]","Calle Adolfo Bioy Casares 2 Centro Comercial La Gavia, 28051 Madrid España"
Restaurante Conduma - Abierto - abierto,null,Restaurante Conduma - Abierto - abierto,"4,5 ","[""€€ - €€€"",""Restaurante de carne"",""Mediterránea"",""Española""]","Calle del Mar de Bering 7, 28033 Madrid España"
ZAGA - Defensa del producto en barra y mantel,null,ZAGA - Defensa del producto en barra y mantel,"4,5 ","[""€€ - €€€""]","Calle Breton de los Herreros 39, 28003 Madrid España"
Afrodita Restaurante & Cocteleria,https://restauranteafrodita.es/,Afrodita Restaurante & Cocteleria,"5,0 ","[""Mediterránea""]","Calle Barbara De Braganza,2, 28004 Madrid España"
The Observatory- Hotel Puerta América 5*,http://www.hotelpuertamerica.com/,The Observatory- Hotel Puerta América 5*,"4,0 ","[""€€€€"",""Internacional"",""Mediterránea"",""Europea""]","Avenida de America 41 Hotel Puerta América, 28002 Madrid España"
Taberna La Tienta,null,Taberna La Tienta,"3,5 ","[""€€ - €€€"",""Bar"",""Mediterránea"",""Española""]","Calle de Alejandro Gonzalez, 7 Las Ventas, Junto a Plaza de Toros, 28028 Madrid España"
La Mafia se sienta a la mesa - C.C. La Vaguada - CERRADO,null,La Mafia se sienta a la mesa - C.C. La Vaguada - CERRADO,"3,5 ","[""€€ - €€€"",""Italiana"",""Mediterránea"",""Opciones vegetarianas""]","Avenida Monforte de Lemos, 36 Centro Comercial la Vaguada, 28029 Madrid España"
Urban Orchard Organic Vegan Health Bar,http://www.facebook.com/urbanorchardmadrid/,Urban Orchard Organic Vegan Health Bar,"4,5 ","[""€€ - €€€"",""Bar"",""Saludable"",""Opciones vegetarianas""]","Calle de Santa Isabel 5 Inside The Antón Martín Market on the ppper floor, 28012 Madrid España"
Taberna de la Elisa,https://www.facebook.com/TabernaDeLaElisa/?ref=br_rs,Taberna de la Elisa,"3,5 ","[""€€ - €€€"",""Mediterránea"",""Española""]","Calle Santa Maria 42, 28014 Madrid España"
Vira Vira Gyros,http://www.viraviragyros.com/,Vira Vira Gyros,"5,0 ","[""Griega""]","Calle Corredera Alta De San Pablo 1, 28004 Madrid España"
Restaurante Yerbabuena,null,Restaurante Yerbabuena,"4,0 ","[""€€ - €€€"",""Española"",""Opciones vegetarianas"",""Opciones veganas""]","Calle Hileras 2, 28013 Madrid España"
La Virgen 154,null,La Virgen 154,"4,0 ","[""€€ - €€€"",""Asiática"",""De Asia central""]","Calle Jose Abascal 11, Madrid España"
Piantao Chamberí,http://piantao.es/restaurante-argentino-chamberi/,Piantao Chamberí,"4,5 ","[""€€€€"",""Restaurante de carne"",""Asador"",""Argentina""]","Calle Sagasta, 30, 28004 Madrid España"
GRACIAS PADRE,https://graciaspadre.es/,GRACIAS PADRE,"3,5 ","[""€€ - €€€"",""Mexicana"",""Latina"",""Centroamericana""]","Calle José Ortega y Gasset, 55, 28006 Madrid España"
IGo Pasta,http://www.igopasta.com/,IGo Pasta,"4,0 ","[""€€ - €€€"",""China"",""Japonesa"",""Sushi""]","Calle Dolores Barranco 88, 28026 Madrid España"
Cerveceria La Divina,No hay link,Cerveceria La Divina,"4,5 ","[""€"",""Española""]","Calle de San Andres 11 Malasana, 28004 Madrid España"
María Bonita Río Tacobar,null,María Bonita Río Tacobar,"4,0 ","[""€"",""Mexicana"",""Opciones vegetarianas""]","Paseo de Yeserías 29, 28005 Madrid España"
restaurante Jaizkibel,http://jaizkibelartesanoscocineros.com/,restaurante Jaizkibel,"4,5 ","[""€€€€"",""Mediterránea"",""Española"",""Vasca""]","Calle Albasanz 67, 28037 Madrid España"
Troade Beer&Burger,null,Troade Beer&Burger,"4,0 ","[""€€ - €€€"",""Mexicana"",""Americana"",""Pub con cerveza artesanal""]","Calle de la Virgen de Lluc 43, 28027 Madrid España"
Casa Lucharna,null,Casa Lucharna,"4,0 ","[""€€ - €€€"",""Española""]","Calle Menorca, 9, 28009 Madrid España"
Mis Tradiciones,http://www.mistradiciones.com/,Mis Tradiciones,"3,5 ","[""€€ - €€€"",""Peruana"",""Latina"",""Internacional""]","Plaza de Francisco Morano 3, 28005 Madrid España"
Bagatella,No hay link,Bagatella,"4,0 ","[""€€ - €€€"",""Mediterránea"",""Española""]","Calle Pelayo 60, 28004 Madrid España"
Saint Kuro Madrid,null,Saint Kuro Madrid,"4,5 ","[""€€ - €€€"",""Japonesa"",""Sushi"",""Asiática""]","Calle Del Espíritu Santo 30, 28004 Madrid España"
Parrilla El Barril,http://parrillaelbarril.com/,Parrilla El Barril,"4,0 ","[""€€ - €€€"",""Marisco"",""Mediterránea"",""Española""]","Calle de San Agustin 13, 28014 Madrid España"
Alcala 87,http://www.alcala87.com/,Alcala 87,"4,5 ","[""Mediterránea"",""Española""]","Calle Alcala 87 87, 28009 Madrid España"
Mademoiselle,http://mademoiselle.es/,Mademoiselle,"5,0 ","[""€€ - €€€"",""Francesa""]","Calle San Bernardo 120, 28015 Madrid España"
Freiduria El Chaval,https://www.facebook.com/Freiduria-El-Chaval-Madrid-1398928333680435/,Freiduria El Chaval,"4,0 ","[""€"",""Bar"",""Comida rápida"",""Española""]","Calle Esfinge 76, 28022 Madrid España"
Don Pulpo,https://opulpino.webnode.es/,Don Pulpo,"4,0 ","[""€€ - €€€"",""Mediterránea"",""Española""]","Calle Arganda 27, 28005 Madrid España"
Cappuccino Madrid,null,Cappuccino Madrid,"3,5 ","[""€€ - €€€"",""Comida rápida"",""Internacional"",""Mediterránea""]","Plaza Independencia 5, 28001 Madrid España"
"McDonald's",http://www.mcdonalds.es/,"McDonald's","3,5 ","[""€"",""Americana"",""Comida rápida""]","Calle de la Montera, 47, 28013 Madrid España"
Cerveceria Leonesa,http://www.instagram.com/cerveceria.leonesa/,Cerveceria Leonesa,"4,5 ",[],"Calle Flor Baja, 28013 Madrid España"
Tapa Tapa Santa María Micaela,http://www.tapataparestaurant.es/,Tapa Tapa Santa María Micaela,"3,5 ","[""€€ - €€€"",""Bar"",""Mediterránea"",""Europea""]","Calle de Santa Maria Micaela 4 Plaza de los Cubos, 28008 Madrid España"
Restaurante El Chorrón,http://elchorrontaberna.com/,Restaurante El Chorrón,"4,0 ","[""€€ - €€€"",""Mediterránea"",""Española"",""Opciones veganas""]","Calle Doctor Gómez Ulla, 12, 28028 Madrid España"
Galipán,http://www.pidegalipan.es/,Galipán,"4,5 ","[""€"",""Bar"",""Comida rápida"",""Pub""]","Calle Montera 33 Pasaje Comercial, 28013 Madrid España"
Mr Hot Dog Madrid,No hay link,Mr Hot Dog Madrid,"4,5 ","[""Comida rápida""]","Calle Guzman el Bueno 41, 28015 Madrid España"
La Barra,http://www.facebook.com/LABARRAmadrid,La Barra,"4,0 ","[""€€ - €€€"",""Mediterránea"",""Española"",""Contemporánea""]","Calle Garcilaso 1 Bilbao, 28010 Madrid España"
Vantin,https://www.facebook.com/vantinrestaurante/,Vantin,"4,5 ","[""€€ - €€€"",""Española""]","Bretón de los Herreros 27, 28003 Madrid España"
Oh Galo!,No hay link,Oh Galo!,"5,0 ","[""€"",""Mediterránea"",""Española""]","Calle Pelayo, 72, 28004 Madrid España"
La Probeta - La Tita Lab,http://www.facebook.com/LaProbeta/,La Probeta - La Tita Lab,"4,0 ","[""€€ - €€€"",""Bar"",""Española"",""Fusión""]","Calle de Perez Galdos 2, 28004 Madrid España"
Escafandra - Taberna Vegana,http://www.escafandravegana.com/,Escafandra - Taberna Vegana,"4,5 ","[""€€ - €€€"",""Mediterránea"",""Española""]","Calle Joaquín María López, 17, 28015 Madrid España"
Isa Restaurant & Cocktail Bar,null,Isa Restaurant & Cocktail Bar,"4,5 ","[""Asiática""]","Calle de Sevilla 3 Four Seasons Hotel Madrid, 28014 Madrid España"
"LOS MONTES DE GALICIA, S.L.",null,"LOS MONTES DE GALICIA, S.L.","5,0 ",[],"Calle Cándido Mateos, 37 PISO 8, 28035 Madrid España"
Bar Cruz,http://casadelasnavajas.com/,Bar Cruz,"3,5 ","[""€"",""Bar"",""Mediterránea"",""Española""]","Plaza Cascorro 19, 28005 Madrid España"
Cafeteria Cesar Las Ventas,http://www.cafeteriacesarlasventas.com/,Cafeteria Cesar Las Ventas,"3,5 ","[""€"",""Bar"",""Pub""]","Calle Alcala 204 Enfrente de la plaza de toros de Las Ventas, 28028 Madrid España"
Bamboo Sushi Bar,No hay link,Bamboo Sushi Bar,"4,5 ","[""€€ - €€€"",""Japonesa"",""Mediterránea"",""Sushi""]","Calle Bahía De Almería 11, 28042 Madrid España"
Ceviches & Wok,https://www.cevicheswok.com/carta.pdf,Ceviches & Wok,"5,0 ",[],"C. de López de Hoyos, 81 Mercado de Prosperidad, 28002 Madrid España"
Círculo Marisqueria,http://www.circulomarisqueria.com/,Círculo Marisqueria,"3,5 ","[""€€ - €€€"",""Marisco"",""Mediterránea"",""Española""]","Calle Oliva de Plasencia, 1 Centro Comercial San Ignacio de Loyola, 28044 Madrid España"
