_id,nombre,puntuacion,direccion,cp,ciudad,pais,enlace,tipo_cocina,direccion_completa,lat,long,precio
4994,Green Tavern,"3,5 ",Plaza Cronos 5,28037,Madrid,España,http://www.clovergroup.es/,[],"Plaza Cronos 5, 28037, Madrid",40.439906,-3.6186132,€
4996,El Reloj de Arena,"3,5 ",Calle Joaquin Costa 9,28002,Madrid,España,No hay link,"['Mediterránea', 'Española']","Calle Joaquin Costa 9, 28002, Madrid",40.208277,-3.5749064,€€ - €€€
4997,Sukina,"5,0 ","Calle de Rufino González, 56",28037,Madrid,España,No hay link,[''],"Calle de Rufino González, 56, 28037, Madrid",40.4342287,-3.6251217,No hay información del precio
4999,Restaurante Ajetreo,"4,5 ",Doctor Castelo 26,28009,Madrid,España,No hay link,"['Internacional', 'Mediterránea', 'Española']","Doctor Castelo 26, 28009, Madrid",40.4202508,-3.6754873,No hay información del precio
5002,La veritá,"3,5 ",Embajadores 181 b,28045,Madrid,España,No hay link,"['Italiana', 'Pizza', 'Mediterránea']","Embajadores 181 b, 28045, Madrid",40.4094839,-3.7034609,€€ - €€€
5004,Bar Tío Teo,"4,0 ","Calle de Antonio López, 60",28019,Madrid,España,No hay link,"['Bar', 'Española', 'Pub']","Calle de Antonio López, 60, 28019, Madrid",40.3947967,-3.7097601,No hay información del precio
5005,Enlagloria,"4,5 ",Calle Prim 9,28004,Madrid,España,http://www.facebook.com/Enlagloria-598815186934446/,"['Café', 'Mediterránea', 'Europea']","Calle Prim 9, 28004, Madrid",40.4219559,-3.6939049,€€ - €€€
5007,Restaurante Casa Egido,"3,5 ","Calle del General Lacy, 50",28045,Madrid,España,No hay link,"['Mediterránea', 'Española']","Calle del General Lacy, 50, 28045, Madrid",40.4011009,-3.6911563,€
5009,La Octava Isla,"4,0 ",Calle Velazquez 117,28006,Madrid,España,http://www.la8ctavaisla.com/,"['Comida rápida', 'Española', 'Venezolana']","Calle Velazquez 117, 28006, Madrid",40.436986,-3.6833155,€
5010,Sagredo,"3,5 ",Avenida Mediterraneo 16,28007,Madrid,España,No hay link,"['Mediterránea', 'Española', 'Vasca']","Avenida Mediterraneo 16, 28007, Madrid",40.4070339,-3.6756978,€
5011,BBQ Burger,"3,5 ","Plaza Amanecer en Méndez Álvaro, 2",28045,Madrid,España,No hay link,"['Americana', 'Comida rápida']","Plaza Amanecer en Méndez Álvaro, 2, 28045, Madrid",40.3987437,-3.6845159,€€ - €€€
5012,La Bartola,"5,0 ",Calle Escuadra 1,28012,Madrid,España,https://la-bartola-de-lavapies.negocio.site/,"['Bar', 'Asador', 'Pub']","Calle Escuadra 1, 28012, Madrid",40.4101706,-3.6995171,No hay información del precio
5015,Toboggan,"3,5 ",Plaza Rutilio Gacis 2,28045,Madrid,España,No hay link,"['Bar', 'Mediterránea', 'Española']","Plaza Rutilio Gacis 2, 28045, Madrid",40.3944237,-3.696855,€
5016,Repano Food Bar,"5,0 ",Calle Azcona 9,28028,Madrid,España,https://www.facebook.com/repanofoodbar-103859801680821,"['Venezolana', 'Sudamericana']","Calle Azcona 9, 28028, Madrid",40.4351596,-3.6675995,€€ - €€€
5020,Bar Moncayo,"4,5 ",Calle Hermanos de Pablo 10,28027,Madrid,España,No hay link,['Española'],"Calle Hermanos de Pablo 10, 28027, Madrid",40.4381434,-3.6466687,No hay información del precio
5021,Mandalon,"4,0 ","Calle de López de Hoyos, 10",28006,Madrid,España,http://restaurantemandalon.com/,[],"Calle de López de Hoyos, 10, 28006, Madrid",40.4369321,-3.6871822,€€ - €€€
5022,YuGa Bar,"3,5 ","Calle Corazón de María, 57",28002,Madrid,España,No hay link,['Española'],"Calle Corazón de María, 57, 28002, Madrid",40.665016,-3.7736877,€€ - €€€
5024,Casa de Canarias,"4,5 ",Calle de Santa Cruz de Marcenado 13,28015,Madrid,España,http://www.facebook.com/DeTenderete/,['Española'],"Calle de Santa Cruz de Marcenado 13, 28015, Madrid",40.4286679,-3.7088468,€€ - €€€
5025,Palacio Del Pollo,"4,0 ",Calle Río Uruguay 2,28018,Madrid,España,No hay link,['Española'],"Calle Río Uruguay 2, 28018, Madrid",40.3845025,-3.6519771,No hay información del precio
5026,Restaurante Dava,"4,5 ",Calle Zurbano 47,28010,Madrid,España,No hay link,[''],"Calle Zurbano 47, 28010, Madrid",40.4328678,-3.693329,No hay información del precio
5027,Chapala,"5,0 ","Avenida de la Reina Victoria, 66",28003,Madrid,España,http://www.chapala.es/,"['Mexicana', 'Internacional', 'Española']","Avenida de la Reina Victoria, 66, 28003, Madrid",40.4462854,-3.7135045,€
5028,Juanito y Menganita,"4,0 ",Plaza de San Pol de Mar 5,28008,Madrid,España,No hay link,[''],"Plaza de San Pol de Mar 5, 28008, Madrid",40.4240582,-3.7273186,No hay información del precio
5029,La Bientirada Vergara,"3,5 ","C. del Príncipe de Vergara, 252",28016,Madrid,España,https://grupolalala.com/locales/restaurantes/la-bientirada-vergara,"['Mediterránea', 'Española']","C. del Príncipe de Vergara, 252, 28016, Madrid",40.4553699,-3.6769267,€€ - €€€
5030,Josefita,"4,0 ",Calle Valverde 42,28004,Madrid,España,http://www.josefitabar.es/,['Española'],"Calle Valverde 42, 28004, Madrid",40.4232943,-3.7014931,€€ - €€€
5032,Sibarita - Barra Y Picoteo,"4,0 ",Calle Baja De La Iglesia 3,28023,Madrid,España,No hay link,"['Mediterránea', 'Española']","Calle Baja De La Iglesia 3, 28023, Madrid",40.4558733,-3.782471,€€ - €€€
5034,Hakuna Matata,"3,5 ",Travesía Horno de la Mata,28004,Madrid,España,http://tumenuonline.es/hakunamatata/,"['Latina', 'Española', 'Venezolana']","Travesía Horno de la Mata, 28004, Madrid",40.4207882,-3.7038635,€
5035,Restaurante Lupita,"3,0 ",Calle Gran Via 73,28013,Madrid,España,No hay link,['Peruana'],"Calle Gran Via 73, 28013, Madrid",40.47083205,-3.871344282431271,€€ - €€€
5036,Caramba,"3,0 ",Calle Alcalá 19,28014,Madrid,España,https://www.facebook.com/carambamadrid/,"['Mediterránea', 'Europea', 'Española']","Calle Alcalá 19, 28014, Madrid",40.4179496,-3.6998271,€€ - €€€
5038,El Rincón de Blas,"4,0 ","Calle Caleruega, 17",28033,Madrid,España,No hay link,['Española'],"Calle Caleruega, 17, 28033, Madrid",40.4821266,-3.6680447,€
5039,Ouhua,"3,5 ",Calle Tomas Garcia 3,28053,Madrid,España,No hay link,"['China', 'Hunan', 'Asiática']","Calle Tomas Garcia 3, 28053, Madrid",40.3922589,-3.6649946,€
5040,Umami Restaurante,"5,0 ",Calle de Aragon 18 Mejorada del Campo,28840,Madrid,España,https://umamirestaurante.es/,"['Mexicana', 'Americana', 'Española']","Calle de Aragon 18 Mejorada del Campo, 28840, Madrid",40.3893613,-3.4811407,€€ - €€€
5042,El Rincon De Hercules,"4,0 ",Calle Miguel Servet 12,28012,Madrid,España,No hay link,[],"Calle Miguel Servet 12, 28012, Madrid",40.2908177,-3.6880703,€
5043,Biböo,"3,5 ","Grañón, 7",28050,Madrid,España,No hay link,[],"Grañón, 7, 28050, Madrid",40.5060934,-3.6747143,€€€€
5044,La Reina del Quinche,"4,5 ",Calle de San Felipe 4,28020,Madrid,España,No hay link,[],"Calle de San Felipe 4, 28020, Madrid",40.4615576,-3.6971013,€
5045,Bar Goya,"4,0 ",Calle de Goya 12,28001,Madrid,España,No hay link,[''],"Calle de Goya 12, 28001, Madrid",40.4250908,-3.6850351,No hay información del precio
5046,Pastelería Delicias Mil,"4,5 ","Calle LOPEZ DE HOYOS, 368",28043,Madrid,España,No hay link,[],"Calle LOPEZ DE HOYOS, 368, 28043, Madrid",40.4723443,-3.6493398,€
