_id,descripcion,link,nombre,precio,puntuacion,serv_hab,tipo_hab,ubicacion
Hostal Abadia Madrid,"Muy bien, esta cerca de La Puerta del Sol y puedes ir caminando a los sitios principales. La habitacion limpia y nos toco habitacion interior por lo que no se escuchaban ruidos de la calle, aunque si de otras habitaciones pero esto no esta de la mano del hostal sino de los propios huespedes. Las camas comodas, limpias. INncluido desayuno, lo justo para comenzar el dia, como sugerencia añadiria algo de fruta natural y algo mas de embutido. En general todo bien y sin duda volvera. Personal amable",No hay link,Hostal Abadia Madrid,118 €,"4,0","[""Aparcamiento privado de pago cerca"",""Internet de alta velocidad gratuito (wifi)"",""Wifi"",""Desayuno bufé"",""Máquina expendedora"",""Espacio para guardar el equipaje"",""Hotel de no fumadores"",""Recepción 24 horas"",""Aire acondicionado"",""Mesa de escritorio"",""Caja fuerte"",""Teléfono"",""Televisor de pantalla plana"",""Bañera/ducha"",""Artículos de aseo gratuitos de cortesía""]","[""Habitaciones de no fumadores""]","Calle Luis Velez de Guevara 2, 28012 Madrid España"
AC Hotel by Marriott Atocha,"Si buscas un hotel de moda en Madrid, no te pierdas AC Hotel Atocha.
Durante su estancia en Hotel Ac Atocha, los huéspedes pueden visitar Plaza de Santa Ana (1,5 km) y Sobrino de Botín (1,9 km), que son algunas de las principales atracciones de Madrid.
Hotel Ac Atocha es un hotel de moda con televisor de pantalla plana, aire acondicionado y minibar en las habitaciones, y es fácil permanecer conectado durante la estancia, ya que ofrece wifi gratuito para los huéspedes.",null,AC Hotel by Marriott Atocha,153 €,"4,0","[""Servicio de aparcacoches"",""Internet de alta velocidad gratuito (wifi)"",""Gimnasio / Sala de entrenamiento"",""Bar/salón"",""Centro de negocios con acceso a Internet"",""Instalaciones para conferencias"",""Espacio para guardar el equipaje"",""Conserje"",""Cortinas opacas"",""Aire acondicionado"",""Mesa de escritorio"",""Servicio de limpieza"",""Minibar"",""Televisor de pantalla plana"",""Bañera/ducha""]","[""Habitaciones insonorizadas"",""Habitaciones de no fumadores"",""Suites"",""Habitaciones para familias""]","Calle Delicias 42, 28045 Madrid España"
Aparthotel Serrano Recoletos,"El Aparthotel Serrano Recoletos es un complejo de estudios y apartamentos ubicado en pleno Barrio Salamanca, en la vecindad con las principales tiendas de la zona más exclusiva de Madrid, cerca de la Biblioteca Nacional y el Museo Arqueológico Nacional, con numerosas comunicaciones en tren (estación de Recoletos) metro (estaciones de Serrano y Colón) y paradas de autobuses en las inmediaciones. Todos los estudios disponen de pequeña cocina equipada con frigorífico y baño completo. Los apartamentos disponen de un dormitorio, salón comedor, cocina equipada con frigorífico y baño completo. Disponemos también de apartamentos con capacidad hasta 6 personas. Bajo petición disponemos de menaje, cafetera Dolce Gusto, tostador,.. Conexión gratuita a internet de alta velocidad.",null,Aparthotel Serrano Recoletos,110 €,"3,5","[""Aparcamiento público de pago cerca"",""Internet de alta velocidad gratuito (wifi)"",""Wifi"",""Conserje"",""Hotel de no fumadores"",""Recepción 24 horas"",""Cortinas opacas"",""Aire acondicionado"",""Servicio de limpieza"",""Servicio de habitaciones"",""Caja fuerte"",""Cocina americana"",""Televisor de pantalla plana"",""Bañera/ducha""]","[""Vistas a la ciudad"",""Habitaciones de no fumadores""]","Calle Villanueva 2, 28001 Madrid España"
Hostal Prado,"Este establecimiento se encuentra justo en la Plaza de Santa Ana y dispone de conexión Wi-Fi gratuita y habitaciones prácticas con baño privado y TV de plasma. La Puerta del Sol está a sólo 300 metros. Todas las habitaciones del Hostal Prado presentan una decoración sencilla y moderna. Además, disponen de suelo de baldosa, aire acondicionado, calefacción y caja fuerte. Las calles de los alrededores del Hostal Prado cuentan con una gran variedad de bares y restaurantes. Además, el barrio de La Latina se encuentra a sólo 10 minutos a pie y es muy conocido por sus bares de tapas. El Hostal Prado también se encuentra a menos de 15 minutos a pie de los Museos del Prado y del Reina Sofía y del parque del Retiro. La estación cercana de Puerta del Sol ofrece servicios de metro y trenes de cercanías.",No hay link,Hostal Prado,77 €,"4,0","[""Internet de alta velocidad gratuito (wifi)"",""Wifi"",""Hotel de no fumadores"",""Recepción 24 horas"",""Aire acondicionado"",""Caja fuerte"",""Televisor de pantalla plana"",""Bañera/ducha""]","[""Habitaciones de no fumadores"",""Habitaciones para familias""]","Calle Nunez de Arce 15 2º piso, 28012 Madrid España"
Hotel uVe Marcenado,"Bienvenido a AHM Aparthotel Marcenado, tu segundo hogar en Madrid. AHM Aparthotel Marcenado tiene como objetivo conseguir que tu visita sea lo más relajante y agradable posible, razón por la que tantos huéspedes siguen volviendo año tras año.
Como está cerca de la mayoría de los puntos de referencia de Madrid, como Parque del Retiro (3,6 km) y Gran Vía (4,0 km), AHM Aparthotel Marcenado es un fantástico destino para turistas.",No hay link,Hotel uVe Marcenado,74 €,"4,5","[""Internet de alta velocidad gratuito (wifi)"",""Wifi"",""Bar/salón"",""Restaurante"",""Conserje"",""Hotel de no fumadores"",""Servicio de lavandería"",""Aire acondicionado"",""Cocina americana""]","[""Habitaciones de no fumadores"",""Habitaciones para familias""]","Calle Marcenado 9, 28002 Madrid España"
Hostal Marlasca,"En el corazón de la ciudad y sin necesidad de utilizar transporte, visite los más bellos y emblemáticos lugares del viejo y entrañable Madrid.
Disfrute de una espectacular ubicación en plena Puerta del Sol, centro tradicional de la capital de España desde el siglo XVIII, a mitad de camino entre el Palacio Real y el Museo del Prado
Hospedarse en el centro de Madrid por poco dinero está a su alcance con todo tipo de comodidades: baño completo, wi-fi gratuito en todas las instalaciones, recepción 24 horas, punto de información turística, servicio despertador, fax, consigna de equipajes, snacks y bebidas durante todo el día, traslados al aeropuerto, etcétera.",No hay link,Hostal Marlasca,67 €,"3,5","[""Aparcamiento"",""Internet de alta velocidad gratuito (wifi)"",""Alquiler de bicicletas"",""Se admiten mascotas"",""Alquiler de coches"",""Conserje"",""Hotel de no fumadores"",""Recepción 24 horas"",""Aire acondicionado"",""Caja fuerte"",""Teléfono"",""Televisor de pantalla plana"",""Bañera/ducha"",""Secador de pelo""]","[""Habitaciones de no fumadores""]","Calle Cruz 14 2º floor, 28012 Madrid España"
Hostal Los Alpes,"Soy ciudadano de Ucrania. Hoy a las 14:00 horas llegamos mi amigo y yo al hotel Hostal Los Alpes, donde en recepción nos robaron 500 euros del pasaporte, en un solo billete, era el último dinero. Antes de llegar al hotel, en el ascensor del hotel (2 minutos antes del check-in en recepción), pusimos un billete de 500 euros en ese pasaporte, que no tenía reserva de hotel, pero también pidieron facilitarlo, y después de que nos registramos en la habitación, después de 40 minutos, descubrimos la pérdida de dinero del pasaporte. ¡Fue un shock! Cuando se les pidió que devolvieran el dinero, nos dijeron que no vieron el dinero, no lo tomaron, y cuando se les pidió que vieran la grabación de la cámara de video, respondieron con una negativa categórica. Además, la mujer de la…",No hay link,Hostal Los Alpes,50 €,"4,0","[""Internet de alta velocidad gratuito (wifi)"",""Wifi"",""Máquina expendedora"",""Estancia gratuita para niños"",""Espacio para guardar el equipaje"",""Hotel de no fumadores"",""Registro de entrada 24 horas"",""Aire acondicionado"",""Mesa de escritorio"",""Servicio de limpieza"",""Caja fuerte"",""Microondas"",""Minibar"",""Televisor de pantalla plana"",""Bañera/ducha""]","[""Habitaciones de no fumadores"",""Habitaciones para familias""]","C/ Fuencarral, 17, 28004 Madrid España"
Cielo Madrid Studios,"Reservé una habitación y al finalizar la reserva me percate que había cambiado la fecha. Enseguida quise ponerme en contacto con ellos. Tarea casi de James Bond. No responden al teléfono y si es más de las 17h tampoco responden al wassap. Como la reserva fue hecha a través de una plataforma (hoteles.com) se han lavado las manos en todo momento. Ni han devuelto el dinero a la plataforma, ni me han querido realizar un bono. Lo dicho unos impresentables. Pan para hoy hambre para mañana....Hasta nunca.",No hay link,Cielo Madrid Studios,63 €,"4,0","[""Internet de alta velocidad gratuito (wifi)"",""Internet"",""Se admiten mascotas"",""Transporte desde/al aeropuerto"",""Centro de negocios con acceso a Internet"",""Aire acondicionado"",""Servicio de habitaciones"",""Cocina americana"",""Frigorífico""]",[],"Calle Matilde Hernández, 40, 28019 Madrid España"
NH Madrid Ribera del Manzanares,"El hotel NH Madrid Ribera del Manzanares de Madrid ofrece una excelente ubicación, con fácil acceso a toda la ciudad, ideal para las visitas de negocios o las necesidades personales.",null,NH Madrid Ribera del Manzanares,101 €,"4,5","[""Punto de recarga de vehículos eléctricos"",""Internet de alta velocidad gratuito (wifi)"",""Gimnasio / Sala de entrenamiento"",""Bar/salón"",""Se admiten mascotas"",""Servicio de taxi"",""Centro de negocios con acceso a Internet"",""Instalaciones para conferencias"",""Cortinas opacas"",""Servicio de limpieza"",""Servicio de habitaciones"",""Caja fuerte"",""Teléfono"",""Televisor de pantalla plana""]","[""Habitaciones de no fumadores"",""Suites""]","Paseo Virgen del Puerto 57 Arganzuela, 28005 Madrid España"
Petit Palace Plaza Mayor,"El Hotel Petit Palace Plaza Mayor es un hotel boutique 4*, situado frente a la Plaza Mayor de Madrid. Su diseño es ideal para quienes quieren conocer el auténtico Madrid y su inigualable ambiente, historia y gastronomía, en pleno centro y a 200m de la parada de metro ""Ópera"".
Este hotel único, en plena Plaza Mayor y con todos los servicios imaginables: iPad bajo disponibilidad & wifi gratis, desayuno buffet completo, regalos para los niños… cuenta además con duchas de hidromasaje, televisiones LCD... en todas sus modernas habitaciones. Así como alquiler de bicicletas para nuestros clientes",No hay link,Petit Palace Plaza Mayor,137 €,"4,0","[""Aparcamiento"",""Internet de alta velocidad gratuito (wifi)"",""Desayuno disponible"",""Alquiler de bicicletas"",""Tronas disponibles"",""Carritos de bebé"",""Se admiten mascotas"",""Transporte desde/al aeropuerto"",""Aire acondicionado"",""Servicio de limpieza"",""Caja fuerte"",""Caja fuerte para portátiles"",""Minibar"",""Televisor de pantalla plana"",""Artículos de aseo gratuitos de cortesía""]","[""Habitaciones de no fumadores"",""Habitaciones para familias""]","Calle Mayor 46, 28013 Madrid España"
